YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2022,2,5257,41777,cargurus
2021,3,7963,62999,cargurus
1992,31,211000,12500,craigslist
1977,47,55000,65000,craigslist
2022,2,14000,50000,craigslist
2023,1,12732,58590,carvana
2022,2,7891,42990,carvana
2021,3,12274,40990,carvana
2023,1,2683,38590,carvana
2023,1,1358,92000,craigslist
2022,2,14000,61000,craigslist
2023,1,12521,42655,edmunds
2022,2,2516,49901,edmunds
2023,1,4956,44698,edmunds
2021,3,15651,44990,edmunds
1995,28,119561,15900,edmunds
1990,33,158080,30999,cargurus
1975,49,30000,37999,cargurus
